id,raw_text,label_mechanism,label_stage,label_category,corrective_strategy,risk_level,notes
1,Emotional regulation example 1: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
2,Emotional regulation example 2: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
3,Emotional regulation example 3: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
4,Emotional regulation example 4: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
5,Emotional regulation example 5: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
6,Emotional regulation example 6: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
7,Emotional regulation example 7: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
8,Emotional regulation example 8: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
9,Emotional regulation example 9: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
10,Emotional regulation example 10: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
11,Emotional regulation example 11: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
12,Emotional regulation example 12: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
13,Emotional regulation example 13: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
14,Emotional regulation example 14: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
15,Emotional regulation example 15: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
16,Emotional regulation example 16: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
17,Emotional regulation example 17: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
18,Emotional regulation example 18: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
