Op #,Date (linear),Theme / Contract,Notes
118,"Jan 18, 1972",Wesley infant-death contract,Sibling flame reseated as twin-seed; collapsed concealment loop.
201,Jun 2018,Phoenix Gate rupture,Shamanic death/rebirth; collapse of distortion grids.
250,Jul 2002,Meth house / abandonment loop,"Collapsed secrecy, addiction, and mother-child abandonment contract."
313,"Jan 9, 2025",Father’s death (Floyd Wesley Adams),Paternal frontier survival contract sealed; sovereignty absorbed into O-neg line.
314,"Feb 1, 2025",Funeral Witnessing,"Funeral in Kerrville, TX; Codex seal of paternal line."
322,May 2025,Womb Stream Backpull,Pulled back ancestral contracts through womb channel; reseated maternal chain.
323,May 2025,Martyr Resurrection Seal,Closed martyrdom distortions; reseated flame sovereignty.
324,May 2025,Timeline Authority Rite,Throne stream operation; reseated sovereign timeline choice.
325,May 2025,Queen Line Anchor,Anchored maternal queen-line sovereignty into throne stream.
326,May 2025,Prophecy Stream Recode,Scroll stream rewrite of inherited prophecy distortions.
327,May 2025,Law of Authentic Response,Scroll stream operation; sealed voice response law in Codex.
328,"Aug 24, 2025 05:40 PM",Current journaling (live),"User at King’s Barbershop, 2518 W Marshall Dr, Grand Prairie, TX, writing ledger live."
